Participant_ID,L1_L2,area,time_period,channel,stress,match,amplitude
stress10,L2,suffix,235_415,P7,stressed,match,1.209973
stress10,L2,suffix,235_415,P7,unstressed,mismatch,-2.735457
stress10,L2,suffix,235_415,P7,unstressed,match,0.332297
stress10,L2,suffix,235_415,O1,stressed,mismatch,3.942026
stress10,L2,suffix,235_415,O1,stressed,match,2.172402
stress10,L2,suffix,235_415,O1,unstressed,mismatch,-2.538538
stress10,L2,suffix,235_415,O1,unstressed,match,0.426495
stress10,L2,suffix,235_415,Oz,stressed,mismatch,4.092673
stress10,L2,suffix,235_415,Oz,stressed,match,0.662329
stress10,L2,suffix,235_415,Oz,unstressed,mismatch,-0.749663
stress10,L2,suffix,235_415,Oz,unstressed,match,3.173641
stress10,L2,suffix,235_415,O2,stressed,mismatch,2.409879
stress10,L2,suffix,235_415,O2,stressed,match,0.057742
stress10,L2,suffix,235_415,O2,unstressed,mismatch,0.939152
stress10,L2,suffix,235_415,O2,unstressed,match,3.528128
stress10,L2,suffix,235_415,P4,stressed,mismatch,0.637439
stress10,L2,suffix,235_415,P4,stressed,match,1.365048
stress10,L2,suffix,235_415,P4,unstressed,mismatch,-1.550954
stress10,L2,suffix,235_415,P4,unstressed,match,1.709826
stress10,L2,suffix,235_415,P8,stressed,mismatch,2.278615
stress10,L2,suffix,235_415,P8,stressed,match,-0.700839
stress10,L2,suffix,235_415,P8,unstressed,mismatch,1.598975
stress10,L2,suffix,235_415,P8,unstressed,match,3.374162
stress10,L2,suffix,235_415,TP10,stressed,mismatch,9.286157
stress10,L2,suffix,235_415,TP10,stressed,match,2.641302
stress10,L2,suffix,235_415,TP10,unstressed,mismatch,3.907637
stress10,L2,suffix,235_415,TP10,unstressed,match,11.350642
stress10,L2,suffix,235_415,CP6,stressed,mismatch,-0.47901
stress10,L2,suffix,235_415,CP6,stressed,match,-0.641073
stress10,L2,suffix,235_415,CP6,unstressed,mismatch,0.01177
stress10,L2,suffix,235_415,CP6,unstressed,match,1.252436
stress10,L2,suffix,235_415,CP2,stressed,mismatch,-0.20431
stress10,L2,suffix,235_415,CP2,stressed,match,-1.205222
stress10,L2,suffix,235_415,CP2,unstressed,mismatch,-2.343497
stress10,L2,suffix,235_415,CP2,unstressed,match,-1.169311
stress10,L2,suffix,235_415,Cz,stressed,mismatch,-2.443975
stress10,L2,suffix,235_415,Cz,stressed,match,-1.500044
stress10,L2,suffix,235_415,Cz,unstressed,mismatch,-2.945374
stress10,L2,suffix,235_415,Cz,unstressed,match,-5.03818
stress10,L2,suffix,235_415,C4,stressed,mismatch,-0.709004
stress10,L2,suffix,235_415,C4,stressed,match,-1.334783
stress10,L2,suffix,235_415,C4,unstressed,mismatch,-0.307108
stress10,L2,suffix,235_415,C4,unstressed,match,-0.634627
stress10,L2,suffix,235_415,T8,stressed,mismatch,-0.699111
stress10,L2,suffix,235_415,T8,stressed,match,-2.136739
stress10,L2,suffix,235_415,T8,unstressed,mismatch,1.711796
stress10,L2,suffix,235_415,T8,unstressed,match,5.240536
stress10,L2,suffix,235_415,FT10,stressed,mismatch,0.534363
stress10,L2,suffix,235_415,FT10,stressed,match,-3.629773
stress10,L2,suffix,235_415,FT10,unstressed,mismatch,3.560964
stress10,L2,suffix,235_415,FT10,unstressed,match,8.381206
stress10,L2,suffix,235_415,FC6,stressed,mismatch,-2.862223
stress10,L2,suffix,235_415,FC6,stressed,match,-2.4882
stress10,L2,suffix,235_415,FC6,unstressed,mismatch,2.424006
stress10,L2,suffix,235_415,FC6,unstressed,match,3.876508
stress10,L2,suffix,235_415,FC2,stressed,mismatch,-4.46523
stress10,L2,suffix,235_415,FC2,stressed,match,-2.461259
stress10,L2,suffix,235_415,FC2,unstressed,mismatch,-0.94444
stress10,L2,suffix,235_415,FC2,unstressed,match,-3.266702
stress10,L2,suffix,235_415,F4,stressed,mismatch,-5.707974
stress10,L2,suffix,235_415,F4,stressed,match,-1.91701
stress10,L2,suffix,235_415,F4,unstressed,mismatch,2.576545
stress10,L2,suffix,235_415,F4,unstressed,match,-1.345675
stress10,L2,suffix,235_415,F8,stressed,mismatch,-2.441143
stress10,L2,suffix,235_415,F8,stressed,match,-3.13782
stress10,L2,suffix,235_415,F8,unstressed,mismatch,7.888023
stress10,L2,suffix,235_415,F8,unstressed,match,8.852503
stress10,L2,suffix,235_415,Fp2,stressed,mismatch,-10.405415
stress10,L2,suffix,235_415,Fp2,stressed,match,2.006147
stress10,L2,suffix,235_415,Fp2,unstressed,mismatch,7.996459
stress10,L2,suffix,235_415,Fp2,unstressed,match,-3.049211
stress10,L2,suffix,235_415,Audio,stressed,mismatch,-2899.493408
stress10,L2,suffix,235_415,Audio,stressed,match,-1689.981934
stress10,L2,suffix,235_415,Audio,unstressed,mismatch,-2583.622314
stress10,L2,suffix,235_415,Audio,unstressed,match,-1583.376953
stress10,L2,suffix,235_415,Fz,stressed,mismatch,-6.365759
stress10,L2,suffix,235_415,Fz,stressed,match,-1.837809
stress10,L2,suffix,235_415,Fz,unstressed,mismatch,0.008748
stress10,L2,suffix,235_415,Fz,unstressed,match,-5.480233
stress11,L2,suffix,235_415,Fp1,stressed,mismatch,3.495394
stress11,L2,suffix,235_415,Fp1,stressed,match,-13.152096
stress11,L2,suffix,235_415,Fp1,unstressed,mismatch,-1.094728
stress11,L2,suffix,235_415,Fp1,unstressed,match,-10.570638
stress11,L2,suffix,235_415,F3,stressed,mismatch,-4.564968
stress11,L2,suffix,235_415,F3,stressed,match,-5.145917
stress11,L2,suffix,235_415,F3,unstressed,mismatch,2.977425
stress11,L2,suffix,235_415,F3,unstressed,match,-2.766716
stress11,L2,suffix,235_415,F7,stressed,mismatch,-13.211950999999999
stress11,L2,suffix,235_415,F7,stressed,match,-22.34527
stress11,L2,suffix,235_415,F7,unstressed,mismatch,-2.064556
stress11,L2,suffix,235_415,F7,unstressed,match,-6.555704
